"STATION","NAME","DATE","CDSD","EMNT","EMXT","HDSD","TAVG","TMAX","TMIN"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2007-01","0","16","71","2075","36.8","45.6","27.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2007-02","2","8","81","2718","42.1","53.2","31.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2007-03","37","21","82","2903","60.2","71.1","49.2"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2007-04","70","33","85","3165","57.4","67.6","47.2"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2007-05","258","51","86","3167","71.0","79.2","62.7"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2007-06","621","60","92","3167","77.1","85.3","68.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2007-07","1109","67","96","0","80.7","90.5","70.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2007-08","1702","68","101","0","84.1","94.6","73.7"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2007-09","2036","52","93","0","76.1","86.3","65.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2007-10","2161","39","92","112","65.4","76.7","54.2"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2007-11","2168","22","82","483","52.8","65.0","40.7"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2007-12","2168","14","69","1289","39.0","49.0","29.1"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2008-01","1","14","75","2062","40.1","52.2","27.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2008-02","1","13","78","2729","42.0","54.4","29.6"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2008-03","10","15","85","3122","52.6","65.2","40.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2008-04","45","31","88","3319","59.6","72.3","46.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2008-05","278","41","96","3354","71.3","82.7","60.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2008-06","731","57","96","3354","80.1","90.4","69.7"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2008-07","1303","67","105","0","83.5","95.3","71.7"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2008-08","1801","65","106","0","81.0","91.4","70.7"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2008-09","1995","49","91","2","71.4","82.3","60.4"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2008-10","2041","31","86","165","61.2","74.2","48.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2008-11","2045","25","83","591","51.0","63.4","38.5"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2008-12","2048","11","76","1385","39.5","51.8","27.1"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2009-01","0","6","76","2245","37.2","50.2","24.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2009-02","0","20","79","2720","48.1","60.8","35.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2009-03","22","21","85","3087","53.8","65.7","42.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2009-04","69","22","91","3296","59.6","72.3","46.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2009-05","181","48","90","3358","66.6","76.7","56.6"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2009-06","637","55","101","3358","80.2","91.2","69.1"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2009-07","1174","58","105","0","82.3","94.4","70.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2009-08","1615","61","99","0","79.2","89.7","68.8"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2009-09","1808","48","95","20","70.7","80.3","61.2"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2009-10","1815","36","82","318","55.7","64.7","46.6"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2009-11","1817","27","77","648","54.0","65.0","43.1"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2009-12","1817","11","70","1578","35.0","45.3","24.7"
